timestamp,ch0,ch1
3708457.031,-30,643
3708457.031,-6,655
3708457.031,0,715
3708457.031,-12,731
3708457.037,-87,729
3708457.037,-106,712
3708457.043,-104,646
3708457.043,-84,626
3708457.052,-2,623
3708457.052,24,635
3708457.06,28,697
3708457.06,15,714
3708457.067,-58,711
3708457.067,-80,693
3708457.078,-76,627
3708457.078,-58,608
3708457.084,15,606
3708457.084,40,620
3708457.093,43,683
3708457.093,25,701
3708457.119,-52,700
3708457.119,-75,686
3708457.132,-76,623
3708457.132,-59,606
3708457.134,17,606
3708457.134,42,620
3708457.135,43,685
3708457.135,25,702
3708457.136,-51,702
3708457.136,-75,688
3708457.139,-78,625
3708457.139,-58,608
3708457.146,19,607
3708457.146,42,621
3708457.158,43,685
3708457.158,26,703
3708457.164,-49,703
3708457.164,-73,688
3708457.173,-75,624
3708457.173,-60,607
3708457.179,17,606
3708457.179,41,622
3708457.188,42,685
3708457.188,28,703
3708457.197,-44,702
3708457.197,-66,687
3708457.203,-65,623
3708457.203,-44,605
3708457.212,38,606
3708457.212,67,620
3708457.221,72,681
3708457.221,60,697
3708457.229,-11,697
3708457.229,-32,682
3708457.233,-29,618
3708457.233,-9,601
3708457.247,75,601
3708457.247,106,615
3708457.253,110,679
3708457.253,95,697
3708457.26,23,699
3708457.26,3,684
3708457.268,8,620
3708457.268,27,603
3708457.286,106,603
3708457.286,135,617
3708457.286,141,680
3708457.286,125,698
3708457.292,49,697
3708457.292,28,682
3708457.299,29,617
3708457.299,44,600
3708457.308,121,600
3708457.308,144,615
3708457.318,147,678
3708457.318,130,697
3708457.324,52,696
3708457.324,29,681
3708457.333,29,617
3708457.333,46,601
3708457.342,122,601
3708457.342,145,615
3708457.348,148,679
3708457.348,130,697
3708457.356,52,698
3708457.356,30,682
3708457.364,29,618
3708457.364,43,601
3708457.373,120,601
3708457.373,144,616
3708457.38,145,679
3708457.38,129,697
3708457.388,51,697
3708457.388,29,681
3708457.419,27,617
3708457.419,44,600
3708457.419,121,599
3708457.419,145,615
3708457.431,145,678
3708457.431,129,695
3708457.433,53,695
3708457.433,29,681
3708457.434,29,617
3708457.434,45,600
3708457.436,121,599
3708457.436,147,614
3708457.443,145,678
3708457.443,128,696
3708457.451,51,696
3708457.451,27,680
3708457.46,28,617
3708457.46,45,600
3708457.467,120,599
3708457.467,143,614
3708457.475,146,677
3708457.475,128,694
3708457.484,50,697
3708457.484,29,681
3708457.496,30,613
3708457.496,43,596
3708457.499,118,596
3708457.499,145,610
3708457.508,144,673
3708457.508,129,690
3708457.522,53,690
3708457.522,28,675
3708457.525,26,611
3708457.525,43,595
3708457.532,119,595
3708457.532,144,610
3708457.551,149,673
3708457.551,133,690
3708457.551,59,691
3708457.551,38,676
3708457.575,41,612
3708457.575,63,595
3708457.577,144,595
3708457.577,170,609
3708457.578,173,673
3708457.578,162,690
3708457.58,88,690
3708457.58,66,675
3708457.588,67,611
3708457.588,88,594
3708457.597,167,594
3708457.597,191,609
3708457.603,193,673
3708457.603,174,690
3708457.612,98,690
3708457.612,74,675
3708457.621,73,613
3708457.621,90,596
3708457.627,167,595
3708457.627,191,610
3708457.636,191,673
3708457.636,174,691
3708457.643,97,691
3708457.643,74,677
3708457.653,73,613
3708457.653,90,594
3708457.66,168,595
3708457.66,191,610
3708457.668,192,673
3708457.668,176,690
3708457.687,97,691
3708457.687,73,675
3708457.687,73,612
3708457.687,92,595
3708457.694,168,595
3708457.694,191,610
3708457.723,191,673
3708457.723,174,691
3708457.733,96,691
3708457.733,73,676
3708457.734,74,612
3708457.734,91,595
3708457.735,167,595
3708457.735,189,609
3708457.736,191,673
3708457.736,175,691
3708457.739,98,690
3708457.739,73,675
3708457.749,72,611
3708457.749,92,594
3708457.755,168,593
3708457.755,191,609
3708457.764,192,673
3708457.764,178,689
3708457.772,101,689
3708457.772,78,675
3708457.779,79,611
3708457.779,98,593
3708457.788,177,594
3708457.788,202,610
3708457.797,204,673
3708457.797,187,690
3708457.804,111,691
3708457.804,88,677
3708457.812,86,613
3708457.812,103,595
3708457.825,180,595
3708457.825,204,609
3708457.828,206,674
3708457.828,189,692
3708457.844,112,692
3708457.844,86,676
3708457.845,86,613
3708457.845,104,597
3708457.864,179,597
3708457.864,203,611
3708457.864,205,673
3708457.864,186,691
3708457.868,109,692
3708457.868,85,677
3708457.886,85,616
3708457.886,104,599
3708457.886,175,596
3708457.886,200,611
3708457.891,203,675
3708457.891,184,692
3708457.9,106,692
3708457.9,85,675
3708457.907,83,613
3708457.907,101,594
3708457.915,178,595
3708457.915,201,610
3708457.934,201,674
3708457.934,185,691
3708457.934,109,691
3708457.934,83,675
3708457.938,82,611
3708457.938,99,593
3708457.948,175,592
3708457.948,199,607
3708457.967,201,670
3708457.967,183,688
3708457.967,108,688
3708457.967,83,674
3708457.973,80,610
3708457.973,97,593
3708457.979,173,592
3708457.979,197,606
3708457.987,198,670
3708457.987,181,686
3708457.996,105,687
3708457.996,81,672
3708458.018,80,608
3708458.018,100,590
3708458.032,176,589
3708458.032,198,604
3708458.034,198,669
3708458.034,182,686
3708458.036,107,687
3708458.036,81,671
3708458.036,80,608
3708458.036,98,591
3708458.044,172,590
3708458.044,197,606
3708458.053,201,669
3708458.053,182,686
3708458.059,104,686
3708458.059,79,670
3708458.068,79,607
3708458.068,97,590
3708458.076,173,590
3708458.076,197,605
3708458.082,199,668
3708458.082,183,686
3708458.092,105,686
3708458.092,80,670
3708458.103,81,607
3708458.103,97,591
3708458.107,173,590
3708458.107,197,605
3708458.116,199,669
3708458.116,181,687
3708458.125,105,686
3708458.125,79,671
3708458.144,80,607
3708458.144,97,590
3708458.144,174,590
3708458.144,198,605
3708458.146,196,669
3708458.146,179,685
3708458.155,104,686
3708458.155,80,671
3708458.164,79,607
3708458.164,96,589
3708458.173,172,588
3708458.173,196,603
3708458.179,198,668
3708458.179,181,685
3708458.19,102,684
3708458.19,81,668
3708458.195,80,604
3708458.195,97,587
3708458.203,173,586
3708458.203,197,602
3708458.212,198,665
3708458.212,181,682
3708458.221,105,682
3708458.221,79,668
3708458.229,81,605
3708458.229,97,586
3708458.236,173,585
3708458.236,196,601
3708458.244,199,665
3708458.244,180,683
3708458.263,104,683
3708458.263,80,668
3708458.263,80,604
3708458.263,95,585
3708458.267,173,585
3708458.267,198,600
3708458.278,198,664
3708458.278,181,682
3708458.285,105,683
3708458.285,82,668
3708458.29,79,604
3708458.29,97,586
3708458.317,175,586
3708458.317,199,601
3708458.332,201,666
3708458.332,186,683
3708458.334,111,683
3708458.334,88,668
3708458.335,88,604
3708458.335,107,587
3708458.337,183,586
3708458.337,208,602
3708458.34,209,665
3708458.34,192,681
3708458.348,116,682
3708458.348,92,668
3708458.357,91,603
3708458.357,108,586
3708458.364,182,587
3708458.364,206,602
3708458.378,208,666
3708458.378,192,682
3708458.381,115,682
3708458.381,89,668
3708458.388,87,604
3708458.388,105,586
3708458.407,185,586
3708458.407,207,600
3708458.407,209,664
3708458.407,193,682
3708458.413,113,683
3708458.413,90,667
3708458.42,91,603
3708458.42,106,587
3708458.428,183,586
3708458.428,207,600
3708458.437,208,664
3708458.437,191,681
3708458.444,114,682
3708458.444,90,666
3708458.452,89,603
3708458.452,107,585
3708458.461,182,585
3708458.461,207,599
3708458.468,207,663
3708458.468,189,681
3708458.476,113,682
3708458.476,88,667
3708458.484,88,603
3708458.484,106,584
3708458.493,182,585
3708458.493,206,601
3708458.499,208,664
3708458.499,189,681
3708458.509,113,681
3708458.509,89,664
3708458.527,89,601
3708458.527,106,585
3708458.527,180,585
3708458.527,204,601
3708458.532,204,664
3708458.532,189,681
3708458.54,113,680
3708458.54,89,665
3708458.549,87,603
3708458.549,104,586
3708458.566,180,585
3708458.566,207,600
3708458.566,207,663
3708458.566,191,680
3708458.572,116,680
3708458.572,94,666
3708458.579,93,602
3708458.579,112,585
3708458.589,189,585
3708458.589,213,600
3708458.597,214,663
3708458.597,197,681
3708458.619,120,681
3708458.619,97,665
3708458.633,98,602
3708458.633,114,584
3708458.634,189,584
3708458.634,213,600
3708458.637,214,664
3708458.637,197,682
3708458.637,123,680
3708458.637,98,665
3708458.644,96,602
3708458.644,114,585
3708458.663,193,584
3708458.663,214,599
3708458.663,212,664
3708458.663,197,681
3708458.667,124,682
3708458.667,97,667
3708458.675,97,604
3708458.675,115,587
3708458.684,192,587
3708458.684,215,601
3708458.703,216,665
3708458.703,200,681
3708458.703,121,681
3708458.703,97,666
3708458.707,98,604
3708458.707,114,586
3708458.716,191,585
3708458.716,215,601
3708458.725,217,664
3708458.725,202,682
3708458.733,125,682
3708458.733,102,667
3708458.738,101,604
3708458.738,117,586
3708458.747,192,586
3708458.747,216,600
3708458.756,218,664
3708458.756,199,682
3708458.762,122,682
3708458.762,98,667
3708458.772,98,604
3708458.772,116,586
3708458.781,192,586
3708458.781,216,601
3708458.79,217,664
3708458.79,199,682
3708458.795,123,681
3708458.795,99,667
3708458.806,96,603
3708458.806,116,586
3708458.813,194,585
3708458.813,215,600
3708458.819,215,664
3708458.819,198,682
3708458.828,123,682
3708458.828,99,667
3708458.855,96,604
3708458.855,113,586
3708458.855,190,586
3708458.855,214,601
3708458.858,214,664
3708458.858,199,682
3708458.861,121,682
3708458.861,99,666
3708458.867,99,602
3708458.867,115,586
3708458.875,192,586
3708458.875,217,601
3708458.887,216,664
3708458.887,201,682
3708458.894,124,682
3708458.894,101,667
3708458.922,100,604
3708458.922,116,586
3708458.931,193,586
3708458.931,218,602
3708458.933,219,665
3708458.933,202,682
3708458.934,128,682
3708458.934,105,667
3708458.938,101,603
3708458.938,113,586
3708458.939,187,586
3708458.939,211,600
3708458.948,209,664
3708458.948,191,682
3708458.955,116,681
3708458.955,93,667
3708458.967,92,603
3708458.967,108,585
3708458.973,182,585
3708458.973,206,600
3708458.979,209,663
3708458.979,191,681
3708458.988,114,681
3708458.988,91,666
3708458.997,90,603
3708458.997,107,586
3708459.003,184,585
3708459.003,208,600
3708459.012,210,664
3708459.012,190,682
3708459.021,117,681
3708459.021,92,667
3708459.027,92,605
3708459.027,108,588
3708459.036,186,588
3708459.036,208,605
3708459.047,208,671
3708459.047,194,689
3708459.053,118,692
3708459.053,91,680
3708459.06,91,621
3708459.06,108,607
3708459.067,184,610
3708459.067,209,627
3708459.087,209,693
3708459.087,192,712
3708459.087,115,713
3708459.087,90,699
3708459.092,90,634
3708459.092,107,616
3708459.099,184,616
3708459.099,209,631
3708459.108,211,694
3708459.108,193,711
3708459.128,116,711
3708459.128,92,696
3708459.128,91,633
3708459.128,107,616
3708459.133,185,615
3708459.133,210,630
