timestamp,ch0,ch1
3708368.948,-5,838
3708368.948,11,822
3708368.956,90,759
3708368.956,114,742
3708368.965,115,742
3708368.965,100,757
3708368.97,23,820
3708368.97,-4,837
3708368.978,-5,838
3708368.978,12,824
3708368.998,92,760
3708368.998,116,741
3708368.998,119,741
3708368.998,102,757
3708369.004,22,820
3708369.004,-3,837
3708369.013,-4,836
3708369.013,13,822
3708369.018,89,759
3708369.018,116,740
3708369.031,118,740
3708369.031,100,756
3708369.034,21,821
3708369.034,-6,837
3708369.042,-9,837
3708369.042,11,823
3708369.051,93,758
3708369.051,117,742
3708369.057,118,741
3708369.057,99,756
3708369.066,23,820
3708369.066,-2,838
3708369.076,-5,839
3708369.076,12,824
3708369.083,92,760
3708369.083,117,743
3708369.09,117,745
3708369.09,99,761
3708369.101,17,825
3708369.101,-5,841
3708369.107,-6,841
3708369.107,11,825
3708369.116,91,764
3708369.116,114,746
3708369.122,116,744
3708369.122,98,759
3708369.141,20,823
3708369.141,-8,840
3708369.141,-6,839
3708369.141,11,823
3708369.146,89,760
3708369.146,115,744
3708369.153,115,742
3708369.153,99,757
3708369.163,21,822
3708369.163,-5,840
3708369.172,-5,839
3708369.172,12,825
3708369.177,89,762
3708369.177,115,744
3708369.186,116,743
3708369.186,97,757
3708369.194,19,821
3708369.194,-6,839
3708369.22,-8,839
3708369.22,11,825
3708369.231,91,761
3708369.231,115,743
3708369.232,115,742
3708369.232,98,759
3708369.255,18,822
3708369.255,-5,839
3708369.256,-7,840
3708369.256,10,826
3708369.261,89,761
3708369.261,115,743
3708369.264,116,743
3708369.264,98,757
3708369.265,20,820
3708369.265,-5,838
3708369.266,-7,839
3708369.266,10,823
3708369.276,90,759
3708369.276,117,742
3708369.282,116,741
3708369.282,98,756
3708369.296,20,820
3708369.296,-8,838
3708369.303,-8,838
3708369.303,10,823
3708369.306,88,758
3708369.306,114,739
3708369.315,116,741
3708369.315,99,757
3708369.324,20,821
3708369.324,-5,837
3708369.329,-6,836
3708369.329,11,822
3708369.338,89,757
3708369.338,114,741
3708369.349,116,741
3708369.349,100,756
3708369.353,19,819
3708369.353,-4,836
3708369.364,-6,838
3708369.364,9,822
3708369.372,87,758
3708369.372,116,741
3708369.381,116,740
3708369.381,98,757
3708369.386,21,819
3708369.386,-4,837
3708369.395,-5,838
3708369.395,11,823
3708369.414,89,757
3708369.414,115,741
3708369.414,117,741
3708369.414,100,756
3708369.417,20,818
3708369.417,-5,836
3708369.426,-6,836
3708369.426,11,821
3708369.437,89,758
3708369.437,114,738
3708369.444,114,738
3708369.444,99,755
3708369.453,21,818
3708369.453,-5,836
3708369.459,-7,837
3708369.459,11,822
3708369.468,90,758
3708369.468,115,740
3708369.474,114,739
3708369.474,98,753
3708369.483,18,817
3708369.483,-5,837
3708369.491,-6,837
3708369.491,11,821
3708369.516,89,757
3708369.516,114,741
3708369.53,119,740
3708369.53,99,755
3708369.531,20,817
3708369.531,-6,835
3708369.532,-7,836
3708369.532,11,821
3708369.536,88,757
3708369.536,114,739
3708369.539,116,740
3708369.539,98,754
3708369.553,19,818
3708369.553,-6,836
3708369.555,-8,835
3708369.555,9,820
3708369.562,89,758
3708369.562,116,740
3708369.571,119,740
3708369.571,100,756
3708369.59,19,820
3708369.59,-7,838
3708369.59,-9,838
3708369.59,8,826
3708369.593,89,764
3708369.593,115,748
3708369.605,115,747
3708369.605,98,762
3708369.612,19,826
3708369.612,-6,843
3708369.618,-6,844
3708369.618,9,827
3708369.627,85,764
3708369.627,111,746
3708369.636,112,746
3708369.636,95,761
3708369.644,18,825
3708369.644,-7,841
3708369.65,-9,841
3708369.65,8,827
3708369.66,86,763
3708369.66,111,745
3708369.668,114,744
3708369.668,96,759
3708369.675,16,822
3708369.675,-8,840
3708369.685,-8,841
3708369.685,9,825
3708369.691,87,762
3708369.691,112,745
3708369.7,113,744
3708369.7,94,758
3708369.706,17,822
3708369.706,-9,840
3708369.715,-10,840
3708369.715,6,824
3708369.734,85,762
3708369.734,110,745
3708369.734,113,744
3708369.734,94,758
3708369.736,17,822
3708369.736,-8,840
3708369.746,-8,839
3708369.746,8,825
3708369.755,84,760
3708369.755,112,744
3708369.764,112,743
3708369.764,96,758
3708369.77,18,821
3708369.77,-8,839
3708369.778,-10,839
3708369.778,8,824
3708369.787,87,760
3708369.787,111,743
3708369.793,112,744
3708369.793,98,758
3708369.817,17,820
3708369.817,-9,839
3708369.831,-8,839
3708369.831,9,823
3708369.832,85,760
3708369.832,112,743
3708369.833,110,742
3708369.833,94,758
3708369.836,16,821
3708369.836,-11,838
3708369.854,-11,839
3708369.854,6,824
3708369.854,85,760
3708369.854,110,743
3708369.857,112,743
3708369.857,95,759
3708369.87,16,823
3708369.87,-10,840
3708369.872,-10,841
3708369.872,6,827
3708369.882,84,764
3708369.882,111,748
3708369.891,112,748
3708369.891,94,763
3708369.898,16,827
3708369.898,-9,844
3708369.907,-10,845
3708369.907,6,830
3708369.915,85,766
3708369.915,112,748
3708369.924,114,747
3708369.924,95,762
3708369.93,17,825
3708369.93,-9,842
3708369.942,-12,843
3708369.942,6,828
3708369.947,85,764
3708369.947,111,746
3708369.953,112,745
3708369.953,94,763
3708369.962,16,826
3708369.962,-11,843
3708369.981,-9,844
3708369.981,8,828
3708369.981,84,765
3708369.981,110,746
3708369.988,114,745
3708369.988,97,761
3708369.994,15,825
3708369.994,-11,843
3708370.013,-12,842
3708370.013,7,828
3708370.013,84,766
3708370.013,111,746
3708370.019,112,745
3708370.019,94,761
3708370.028,15,825
3708370.028,-10,841
3708370.034,-11,842
3708370.034,5,828
3708370.043,83,765
3708370.043,110,747
3708370.052,112,747
3708370.052,94,763
3708370.061,15,826
3708370.061,-11,842
3708370.066,-11,842
3708370.066,6,826
3708370.074,85,765
3708370.074,110,747
3708370.083,113,747
3708370.083,95,761
3708370.089,16,825
3708370.089,-9,843
3708370.116,-12,842
3708370.116,6,827
3708370.131,85,765
3708370.131,109,747
3708370.131,109,746
3708370.131,94,761
3708370.132,14,824
3708370.132,-12,842
3708370.135,-13,843
3708370.135,4,828
3708370.139,86,764
3708370.139,111,747
3708370.153,109,747
3708370.153,93,761
3708370.159,15,824
3708370.159,-11,841
3708370.161,-13,841
3708370.161,4,827
3708370.17,83,763
3708370.17,110,746
3708370.178,109,746
3708370.178,94,761
3708370.187,13,824
3708370.187,-11,842
3708370.198,-12,841
3708370.198,6,827
3708370.204,85,763
3708370.204,110,746
3708370.211,109,745
3708370.211,93,760
3708370.218,13,823
3708370.218,-14,842
3708370.227,-15,841
3708370.227,6,828
3708370.233,83,763
3708370.233,107,746
3708370.242,109,746
3708370.242,93,759
3708370.256,14,824
3708370.256,-10,842
3708370.26,-13,842
3708370.26,3,827
3708370.266,85,763
3708370.266,111,746
3708370.276,109,745
3708370.276,91,760
3708370.294,13,824
3708370.294,-12,842
3708370.294,-13,842
3708370.294,4,827
3708370.298,83,765
3708370.298,107,748
3708370.306,108,746
3708370.306,92,761
3708370.32,12,827
3708370.32,-13,845
3708370.323,-17,845
3708370.323,3,832
3708370.329,81,768
3708370.329,107,750
3708370.343,110,749
3708370.343,93,763
3708370.346,13,826
3708370.346,-10,844
3708370.362,-12,845
3708370.362,4,829
3708370.363,83,766
3708370.363,108,749
3708370.374,112,750
3708370.374,92,764
3708370.378,13,827
3708370.378,-10,844
3708370.386,-10,844
3708370.386,5,831
3708370.395,83,767
3708370.395,108,749
3708370.416,108,749
3708370.416,93,763
3708370.43,15,828
3708370.43,-10,846
3708370.432,-13,845
3708370.432,6,829
3708370.434,84,766
3708370.434,108,749
3708370.436,109,748
3708370.436,92,764
3708370.446,13,827
3708370.446,-12,844
3708370.45,-13,845
3708370.45,5,830
3708370.459,83,767
3708370.459,109,750
3708370.468,110,750
3708370.468,92,764
3708370.474,13,827
3708370.474,-13,846
3708370.482,-14,845
3708370.482,5,829
3708370.491,83,766
3708370.491,107,749
3708370.5,108,747
3708370.5,92,763
3708370.507,13,827
3708370.507,-12,844
3708370.534,-13,844
3708370.534,5,829
3708370.537,83,765
3708370.537,108,747
3708370.538,109,748
3708370.538,92,764
3708370.539,13,827
3708370.539,-13,844
